index;TravelPrice;allerdepart;allerarrivee;retourdepart;retourarrivee;allercompanie;retourcompanie;allertimetravel;retourtimetravel;allerescale;retourescales;allerdeparth;allerarriveeh;retourdeparth;retourarriveeh
331;495,89;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· Air France;· Air France;2 h 05 min;2 h 10 min;direct;direct;09:20;11:25;16:25;18:35
332;495,94;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Iberia;· British Airways;2 h 15 min;7 h 45 min;direct;1 escale;07:30;09:45;07:40;15:25
333;499,49;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· ITA Airways;· ITA Airways;5 h 30 min;5 h 35 min;1 escale;1 escale;11:45;17:15;18:05;23:40
334;502,22;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Lufthansa;· Lufthansa;8 h 35 min;5 h 05 min;1 escale;1 escale;09:05;17:40;08:30;13:35
335;503,32;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Klm Royal Dutch Airlines;· Air France;5 h 05 min;2 h 10 min;1 escale;direct;07:10;12:15;12:25;14:35
336;503,32;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Klm Royal Dutch Airlines;· Air France;5 h 05 min;2 h 10 min;1 escale;direct;07:10;12:15;10:00;12:10
337;509,17;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Klm Royal Dutch Airlines;· Air France;5 h 05 min;2 h 20 min;1 escale;direct;07:10;12:15;06:40;09:00
338;511,62;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· British Airways;· British Airways;5 h 45 min;5 h 40 min;1 escale;1 escale;07:00;12:45;17:15;22:55
339;525,73;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Air France;· Klm Royal Dutch Airlines;2 h 10 min;6 h 10 min;direct;1 escale;06:55;09:05;13:00;19:10
340;525,73;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Air France;· Klm Royal Dutch Airlines;2 h 10 min;5 h 10 min;direct;1 escale;06:55;09:05;11:00;16:10
341;541,30;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· TAP Portugal;· TAP Portugal;6 h 55 min;5 h 05 min;2 escales;1 escale;07:10;14:05;17:55;23:00
342;550,40;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· British Airways;· British Airways;6 h 00 min;6 h 45 min;1 escale;1 escale;16:10;22:10;08:40;15:25
343;555,28;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· Klm Royal Dutch Airlines;· Klm Royal Dutch Airlines;5 h 05 min;5 h 10 min;1 escale;1 escale;07:10;12:15;11:00;16:10
344;555,28;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Klm Royal Dutch Airlines;· Klm Royal Dutch Airlines;5 h 05 min;6 h 10 min;1 escale;1 escale;07:10;12:15;13:00;19:10
345;557,65;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· Air France;· Klm Royal Dutch Airlines;2 h 05 min;4 h 55 min;direct;1 escale;09:20;11:25;06:00;10:55
346;559,65;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Air France;· Klm Royal Dutch Airlines;2 h 10 min;4 h 50 min;direct;1 escale;06:55;09:05;13:00;17:50
347;560,80;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· Lufthansa;· Lufthansa;7 h 25 min;5 h 50 min;1 escale;1 escale;08:30;15:55;16:55;22:45
348;561,45;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· Klm Royal Dutch Airlines;· Air France;4 h 45 min;2 h 10 min;1 escale;direct;18:40;23:25;18:25;20:35
349;578,28;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· Klm Royal Dutch Airlines;· Klm Royal Dutch Airlines;5 h 05 min;4 h 50 min;1 escale;1 escale;07:10;12:15;13:00;17:50
350;584,40;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· British Airways;· British Airways;7 h 25 min;6 h 45 min;1 escale;1 escale;11:50;19:15;08:40;15:25
351;584,40;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· British Airways;· British Airways;6 h 00 min;8 h 45 min;1 escale;1 escale;16:10;22:10;08:40;17:25
352;587,65;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· Klm Royal Dutch Airlines;· Air France;6 h 55 min;2 h 10 min;1 escale;direct;12:40;19:35;18:25;20:35
353;589,35;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· Lufthansa;· Lufthansa;8 h 30 min;5 h 50 min;1 escale;1 escale;09:10;17:40;16:55;22:45
354;595,02;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· Air France;· Air France;2 h 05 min;2 h 10 min;direct;direct;15:20;17:25;18:25;20:35
355;599,02;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· Air France;· Air France;2 h 10 min;2 h 10 min;direct;direct;06:55;09:05;16:25;18:35
356;599,02;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· Air France;· Air France;2 h 10 min;2 h 10 min;direct;direct;06:55;09:05;20:10;22:20
357;612,52;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· Lufthansa;· Lufthansa;8 h 35 min;5 h 50 min;1 escale;1 escale;09:05;17:40;16:55;22:45
358;615,65;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· Klm Royal Dutch Airlines;· Air France;6 h 30 min;2 h 10 min;1 escale;direct;16:55;23:25;18:25;20:35
359;616,45;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· TAP Portugal;· TAP Portugal;4 h 35 min;6 h 45 min;1 escale;1 escale;12:35;17:10;14:55;21:40
360;616,45;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· TAP Portugal;· TAP Portugal;4 h 35 min;5 h 05 min;1 escale;1 escale;12:35;17:10;17:55;23:00
361;616,45;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· TAP Portugal;· TAP Portugal;4 h 40 min;6 h 45 min;1 escale;1 escale;06:40;11:20;14:55;21:40
362;616,45;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· TAP Portugal;· TAP Portugal;4 h 40 min;5 h 05 min;1 escale;1 escale;06:40;11:20;17:55;23:00
363;616,45;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· TAP Portugal;· TAP Portugal;5 h 00 min;6 h 45 min;1 escale;1 escale;15:20;20:20;14:55;21:40
364;616,45;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· TAP Portugal;· TAP Portugal;5 h 00 min;5 h 05 min;1 escale;1 escale;15:20;20:20;17:55;23:00
365;616,45;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· TAP Portugal;· TAP Portugal;6 h 05 min;6 h 45 min;1 escale;1 escale;08:00;14:05;14:55;21:40
366;616,45;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· TAP Portugal;· TAP Portugal;6 h 05 min;5 h 05 min;1 escale;1 escale;08:00;14:05;17:55;23:00
367;617,40;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· British Airways;· British Airways;7 h 25 min;8 h 45 min;1 escale;1 escale;11:50;19:15;08:40;17:25
368;617,65;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· Klm Royal Dutch Airlines;· Air France;5 h 05 min;2 h 10 min;1 escale;direct;07:10;12:15;16:25;18:35
369;617,65;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· Klm Royal Dutch Airlines;· Air France;5 h 05 min;2 h 10 min;1 escale;direct;07:10;12:15;20:10;22:20
370;620,56;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· British Airways;· British Airways;5 h 45 min;5 h 20 min;1 escale;1 escale;07:00;12:45;12:05;17:25
371;638,40;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· British Airways;· British Airways;6 h 40 min;6 h 45 min;1 escale;1 escale;11:50;18:30;08:40;15:25
372;644,65;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· Klm Royal Dutch Airlines;· Air France;6 h 30 min;2 h 10 min;1 escale;direct;07:10;13:40;10:00;12:10
373;644,65;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· Klm Royal Dutch Airlines;· Air France;6 h 30 min;2 h 10 min;1 escale;direct;07:10;13:40;12:25;14:35
374;649,65;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· Air France;· Klm Royal Dutch Airlines;2 h 10 min;4 h 55 min;direct;1 escale;06:55;09:05;06:00;10:55
375;651,65;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Klm Royal Dutch Airlines;· Air France;6 h 30 min;2 h 20 min;1 escale;direct;07:10;13:40;06:40;09:00
376;656,45;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· TAP Portugal;· TAP Portugal;4 h 35 min;4 h 55 min;1 escale;1 escale;12:35;17:10;06:50;11:45
377;656,45;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· TAP Portugal;· TAP Portugal;4 h 35 min;4 h 40 min;1 escale;1 escale;12:35;17:10;12:10;16:50
378;656,45;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· TAP Portugal;· TAP Portugal;4 h 35 min;4 h 50 min;1 escale;1 escale;12:35;17:10;14:55;19:45
379;656,45;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· TAP Portugal;· TAP Portugal;4 h 40 min;4 h 55 min;1 escale;1 escale;06:40;11:20;06:50;11:45
380;656,45;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· TAP Portugal;· TAP Portugal;4 h 40 min;4 h 40 min;1 escale;1 escale;06:40;11:20;12:10;16:50
381;656,45;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· TAP Portugal;· TAP Portugal;4 h 40 min;4 h 50 min;1 escale;1 escale;06:40;11:20;14:55;19:45
382;656,45;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· TAP Portugal;· TAP Portugal;5 h 00 min;4 h 55 min;1 escale;1 escale;15:20;20:20;06:50;11:45
383;656,45;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· TAP Portugal;· TAP Portugal;5 h 00 min;4 h 40 min;1 escale;1 escale;15:20;20:20;12:10;16:50
384;656,45;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· TAP Portugal;· TAP Portugal;5 h 00 min;4 h 50 min;1 escale;1 escale;15:20;20:20;14:55;19:45
385;656,45;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· TAP Portugal;· TAP Portugal;6 h 05 min;4 h 55 min;1 escale;1 escale;08:00;14:05;06:50;11:45
386;656,45;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· TAP Portugal;· TAP Portugal;6 h 05 min;4 h 40 min;1 escale;1 escale;08:00;14:05;12:10;16:50
387;656,45;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· TAP Portugal;· TAP Portugal;6 h 05 min;4 h 50 min;1 escale;1 escale;08:00;14:05;14:55;19:45
388;656,45;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· TAP Portugal;· TAP Portugal;5 h 40 min;6 h 45 min;1 escale;1 escale;17:40;23:20;14:55;21:40
389;656,45;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· TAP Portugal;· TAP Portugal;5 h 40 min;5 h 05 min;1 escale;1 escale;17:40;23:20;17:55;23:00
390;668,02;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Air France;· Air France;2 h 05 min;2 h 10 min;direct;direct;09:20;11:25;18:25;20:35
391;668,28;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· Klm Royal Dutch Airlines;· Klm Royal Dutch Airlines;5 h 05 min;4 h 55 min;1 escale;1 escale;07:10;12:15;06:00;10:55
392;687,28;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· Klm Royal Dutch Airlines;· Klm Royal Dutch Airlines;6 h 30 min;6 h 10 min;1 escale;1 escale;07:10;13:40;13:00;19:10
393;687,28;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· Klm Royal Dutch Airlines;· Klm Royal Dutch Airlines;6 h 30 min;5 h 10 min;1 escale;1 escale;07:10;13:40;11:00;16:10
394;696,45;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· TAP Portugal;· TAP Portugal;5 h 40 min;4 h 55 min;1 escale;1 escale;17:40;23:20;06:50;11:45
395;696,45;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· TAP Portugal;· TAP Portugal;5 h 40 min;4 h 40 min;1 escale;1 escale;17:40;23:20;12:10;16:50
396;696,45;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· TAP Portugal;· TAP Portugal;5 h 40 min;4 h 50 min;1 escale;1 escale;17:40;23:20;14:55;19:45
397;709,28;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Klm Royal Dutch Airlines;· Klm Royal Dutch Airlines;6 h 30 min;4 h 50 min;1 escale;1 escale;07:10;13:40;13:00;17:50
398;748,65;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· Klm Royal Dutch Airlines;· Air France;6 h 30 min;2 h 10 min;1 escale;direct;07:10;13:40;16:25;18:35
399;748,65;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Klm Royal Dutch Airlines;· Air France;6 h 30 min;2 h 10 min;1 escale;direct;07:10;13:40;20:10;22:20
400;760,02;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· Air France;· Air France;2 h 10 min;2 h 10 min;direct;direct;06:55;09:05;18:25;20:35
401;779,65;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Klm Royal Dutch Airlines;· Air France;5 h 05 min;2 h 10 min;1 escale;direct;07:10;12:15;18:25;20:35
402;800,28;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· Klm Royal Dutch Airlines;· Klm Royal Dutch Airlines;6 h 30 min;4 h 55 min;1 escale;1 escale;07:10;13:40;06:00;10:55
403;818,88;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· ITA Airways;· ITA Airways;5 h 30 min;8 h 40 min;1 escale;1 escale;11:45;17:15;15:00;23:40
404;910,65;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Klm Royal Dutch Airlines;· Air France;6 h 30 min;2 h 10 min;1 escale;direct;07:10;13:40;18:25;20:35
405;1 329,24;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;· Luxair;· Air France;6 h 55 min;2 h 10 min;1 escale;direct;12:50;19:45;12:25;14:35
406;1 329,24;Charles De Gaul... (CDG), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Luxair;· Air France;6 h 55 min;2 h 10 min;1 escale;direct;12:50;19:45;18:25;20:35
407;1 329,24;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Luxair;· Air France;6 h 55 min;2 h 10 min;1 escale;direct;12:50;19:45;16:25;18:35
408;1 329,24;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;· Luxair;· Air France;6 h 55 min;2 h 10 min;1 escale;direct;12:50;19:45;10:00;12:10
409;1 329,24;Adolfo Suárez M... (MAD), Madrid;Orly (ORY), Paris;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;· Luxair;· Air France;6 h 55 min;2 h 10 min;1 escale;direct;12:50;19:45;20:10;22:20
410;1 329,24;Orly (ORY), Paris;Adolfo Suárez M... (MAD), Madrid;Adolfo Suárez M... (MAD), Madrid;Charles De Gaul... (CDG), Paris;· Luxair;· Air France;6 h 55 min;2 h 20 min;1 escale;direct;12:50;19:45;06:40;09:00
